variable_name,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
2019-01-07 04:00:00,102870,248.25,3.72,0.15,248.15,5.87
2019-01-07 05:00:00,102970,247.54,3.62,0.15,247.44,5.7
2019-01-07 06:00:00,103080,247.01,3.43,0.15,246.91,5.33
2019-01-07 07:00:00,103170,246.83,3.17,0.15,246.73,4.81
2019-01-07 08:00:00,103190,247.64,2.83,0.15,247.54,4.27
2019-01-07 09:00:00,103210,250.17,2.25,0.15,250.07,3.57
2019-01-07 10:00:00,103200,252.52,1.94,0.15,252.42,2.25
2019-01-07 11:00:00,103090,253.84,1.36,0.15,253.74,1.65
2019-01-07 12:00:00,102990,255.52,1.61,0.15,255.42,1.96
2019-01-07 13:00:00,102930,255.98,0.96,0.15,255.88,1.1
2019-01-07 14:00:00,102860,256.07,1.16,0.15,255.97,1.28
2019-01-07 15:00:00,102760,256.05,2.06,0.15,255.95,2.37
2019-01-07 16:00:00,102640,256.02,3.62,0.15,255.92,4.49
2019-01-07 17:00:00,102490,256.2,5.21,0.15,256.1,6.73
2019-01-07 18:00:00,102370,256.64,5.8,0.15,256.54,7.57
2019-01-07 19:00:00,102250,257.18,5.75,0.15,257.08,7.58
2019-01-07 20:00:00,102110,257.79,5.81,0.15,257.69,7.58
2019-01-07 21:00:00,101960,258.41,6.16,0.15,258.31,7.72
2019-01-07 22:00:00,101750,259,6.97,0.15,258.9,8.43
2019-01-07 23:00:00,101570,259.73,6.86,0.15,259.63,8.31
2019-01-08 00:00:00,101380,260.83,6.82,0.15,260.73,8.43
2019-01-08 01:00:00,101160,262.27,6.89,0.15,262.17,8.93
2019-01-08 02:00:00,101000,263.87,6.06,0.15,263.77,8.37
2019-01-08 03:00:00,100770,265.58,6.69,0.15,265.48,9.81
2019-01-08 04:00:00,100650,266.93,7.11,0.15,266.83,10.53
2019-01-08 05:00:00,100520,268.35,7.81,0.15,268.25,11.33
2019-01-08 06:00:00,100440,269.52,6.69,0.15,269.42,10.01
2019-01-08 07:00:00,100380,270.92,7.25,0.15,270.82,10.4
2019-01-08 08:00:00,100370,272.41,7.39,0.15,272.31,10.54
2019-01-08 09:00:00,100380,273.66,6.76,0.15,273.56,9.76
2019-01-08 10:00:00,100370,273.9,5.63,0.15,273.8,8.79
2019-01-08 11:00:00,100350,274.01,5.2,0.15,273.91,8.55
2019-01-08 12:00:00,100330,274.02,4.06,0.15,273.92,7.52
2019-01-08 13:00:00,100290,273.98,2.65,0.15,273.88,4.86
2019-01-08 14:00:00,100300,274.05,2.07,0.15,273.95,3.37
2019-01-08 15:00:00,100240,273.98,1.86,0.15,273.88,2.94
2019-01-08 16:00:00,100210,273.66,2.3,0.15,273.56,4.2
2019-01-08 17:00:00,100170,273.49,3.16,0.15,273.39,5.5
2019-01-08 18:00:00,100080,273.16,4.75,0.15,273.06,6.2
2019-01-08 19:00:00,100010,272.95,4.94,0.15,272.85,6.04
2019-01-08 20:00:00,99930,272.39,4.28,0.15,272.29,5.53
2019-01-08 21:00:00,99830,271.88,4.36,0.15,271.78,5.64
2019-01-08 22:00:00,99710,271.52,5.04,0.15,271.42,6.34
2019-01-08 23:00:00,99570,271.16,5.91,0.15,271.06,7.28
2019-01-09 00:00:00,99500,270.73,5.19,0.15,270.63,6.7
2019-01-09 01:00:00,99460,270.2,4.28,0.15,270.1,6.2
2019-01-09 02:00:00,99420,269.53,3.76,0.15,269.43,6.08
2019-01-09 03:00:00,99370,269.05,4.2,0.15,268.95,6.57
2019-01-09 04:00:00,99310,268.87,4.44,0.15,268.77,6.97
2019-01-09 05:00:00,99250,268.7,3.83,0.15,268.6,6.65
2019-01-09 06:00:00,99200,268.55,3.46,0.15,268.45,6.67
2019-01-09 07:00:00,99190,268.59,3.15,0.15,268.49,6.35
2019-01-09 08:00:00,99210,269.28,3.28,0.15,269.18,6.49
